PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 5 2 0 0 2 0 0 0 0 0 0.355753424657534 0.671878669275929
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 2 1 5 0 0 0 0 0 0.331565557729941 0.591428571428572
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 3 2 5 0 0 0 0 0 0.301976516634051 0.560704500978474
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 3 3 0 0 0 0 0 0.315244618395303 0.594911937377691
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 6 0 0 4 0 0 0 0 0 0.356183953033268 0.672896281800392
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 4 2 2 2 0 0 0 0 0 0.322426614481409 0.592035225048923
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 1 2 2 2 0 0 0 0 0 0.316203522504892 0.592602739726027
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 0 5 1 2 0 0 0 0 0 0.306086105675147 0.514500978473581
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 4 6 0 0 0 0 0 0.313111545988258 0.628571428571429
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 1 3 4 0 0 0 0 0 0.330880626223092 0.630254403131116
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 3 0 6 3 0 0 0 0 0 0.322289628180039 0.672915851272016
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 1 4 1 3 0 0 0 0 0 0 0.324109589041096 0.629119373776908
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 1 3 0 4 0 0 0 0 0 0.337045009784736 0.561115459882583
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 4 0 1 4 0 0 0 0 0 0.353502935420743 0.670606653620352
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 4 6 1 0 0 0 0 0 0 0.316810176125244 0.49545988258317
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 1 5 2 1 0 0 0 0 0 0.31174168297456 0.513307240704501
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 5 2 0 5 0 0 0 0 0 0.354911937377691 0.594520547945205
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 1 3 6 0 0 0 0 0 0.31679060665362 0.629745596868885
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 4 5 1 3 0 0 0 0 0 0.31454011741683 0.513679060665362
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 1 1 2 2 2 0 0 0 0 0 0.323913894324853 0.593483365949119
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 2 1 4 5 0 0 0 0 0 0.319569471624266 0.629178082191782
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 0 3 1 3 2 0 0 0 0 0 0.320567514677104 0.629432485322896
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 8 1 2 2 2 0 0 0 0 0 0.331976516634051 0.595264187866928
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 1 1 2 6 0 0 0 0 0 0.328747553816047 0.629921722113503
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 1 1 0 2 0 0 0 0 0 0.345616438356164 0.629001956947162
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 6 2 1 1 0 0 0 0 0 0.327162426614481 0.59279843444227
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 2 0 0 3 3 0 0 0 0 0 0.332113502935421 0.670802348336595
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 3 1 3 0 0 0 0 0 0 0.315146771037182 0.628375733855186
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 3 1 2 0 0 0 0 0 0 0.324187866927593 0.629041095890411
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 2 4 0 4 1 0 0 0 0 0 0.323444227005871 0.672446183953033
