"Gen" "PropellantDoesNotIgnite" "PropellantSnuffsOut" "Blowby_projectile" "Blowby_breech" "NotEnoughPressure" "TooMuchPressure" "FailToInitiatePower" "InsufficientBatterySupply" "MotorDamage" "InadequateTorque" "GEUCommandNotRecieved" "CapacitorNotCharged" "CommandSentEarly" "CommandSentLate" "IgnitePropellant" "SealGas" "GeneratePressure" "InitiateInflightPower" "ModifyAttitude" "ArmWarheadFuze" "SendFireCommand" "Launch" "BallisticFlight" "TerminalEffects" "System" "red_system" "System" "red_system" "des"
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 6 5 0 0 0 0 0 0 0.26137 0.492055 0.26137
