EndOfGen Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 2 3 0 1 1 1 0 0.296262230919765 0.558023483365949
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 2 2 0 0 3 1 0 0 0.296536203522505 0.512191780821918
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 1 1 0 3 1 0 0 0.308082191780822 0.498356164383561
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 2 2 0 0 3 1 0 0 0.296536203522505 0.512191780821918
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 2 0 1 1 1 1 0 0.296086 0.52863
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 2 1 0 1 2 1 0 0.291781 0.583738
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 0 3 1 0 0 0.302505 0.493425
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 0 3 1 0 0 0.302505 0.493425
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 1 1 2 0 1 0 0.295225 0.507339
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 1 0 0 3 1 1 0 0.288591 0.513268
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 2 0 0 3 2 0 0 0.286458 0.516536
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 0 3 1 0 0 0.302505 0.493425
