Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 3 3 0 2 0 0 0 0 0 0.10272 0.430528
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 2 0 0 2 0 0 0 0 0 0.104423 0.396086
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 2 1 0 2 0 0 0 0 0 0.107436 0.391605
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 6 1 0 0 0 0 0 0 0 0 0.11411 0.368669
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 1 3 0 2 0 0 0 0 0 0.105108 0.410059
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 5 1 0 1 2 0 0 0 0 0 0.105186 0.386047
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 2 0 1 2 0 0 0 0 0 0.097202 0.41229
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 7 0 0 0 0 0 0 0 0 0 0.125264 0.360431
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 5 0 0 0 1 0 0 0 0 0 0.112877 0.377515
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 7 6 0 0 0 0 0 0 0 0 0 0.118767 0.366477
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 5 1 2 2 0 0 0 0 0 0.099393 0.450274
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 4 1 0 1 0 0 0 0 0 0.102153 0.406947
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 4 4 0 1 2 0 0 0 0 0 0.097808 0.466341
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 0 2 0 1 0 0 0 0 0 0.116967 0.373875
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 6 0 1 1 0 0 0 0 0 0 0.123855 0.368141
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 2 0 1 2 0 0 0 0 0 0.105949 0.393894
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 6 2 1 0 2 0 0 0 0 0 0.104247 0.404403
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 5 1 1 0 1 0 0 0 0 0 0.11456 0.387554
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 7 1 0 0 1 0 0 0 0 0 0.108826 0.392838
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 1 2 0 2 0 0 0 0 0 0.11182 0.389961
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 7 0 0 1 2 0 0 0 0 0 0.11501 0.386947
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 5 1 1 0 1 0 0 0 0 0 0.113718 0.387906
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 0 0 0 3 0 0 0 0 0 0.108787 0.371389
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 7 1 0 0 0 0 0 0 0 0 0.115577 0.367456
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2 0 0 3 0 0 0 0 0 0.100802 0.39409
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 5 2 0 0 2 0 0 0 0 0 0.100978 0.37728
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 6 0 0 0 1 0 0 0 0 0 0.112642 0.370802
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 3 1 1 2 0 0 0 0 0 0.100294 0.437808
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 6 0 0 1 1 0 0 0 0 0 0.11317 0.376301
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 2 0 1 2 0 0 0 0 0 0.103718 0.394423
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 5 2 0 1 3 0 0 0 0 0 0.101742 0.396341
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 6 1 0 0 0 0 0 0 0 0 0.113953 0.368297
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 6 0 0 1 0 0 0 0 0 0 0.121761 0.368239
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 6 1 0 0 1 0 0 0 0 0 0.113777 0.368845
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 7 1 0 0 1 0 0 0 0 0 0.104012 0.38229
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 3 2 0 0 3 0 0 0 0 0 0.099667 0.404129
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 6 2 2 0 2 0 0 0 0 0 0.102348 0.388513
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 1 1 0 1 0 0 0 0 0 0.116634 0.375793
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 1 0 0 4 0 0 0 0 0 0.102016 0.39229
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 1 0 0 3 0 0 0 0 0 0.097769 0.409941
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 5 1 0 0 0 0 0 0 0 0 0.121957 0.373875
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 1 0 0 2 0 0 0 0 0 0.10364 0.378669
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 2 0 1 1 0 0 0 0 0 0.1009 0.394481
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 3 0 1 4 0 0 0 0 0 0.098963 0.450274
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 1 0 0 2 0 0 0 0 0 0.103992 0.395499
