"gen" "evaltime" "searchtime" "evalANDsearch"
"0" "1.224279e-05 mins" "0.0004974445 mins" "0.0005113641 mins"
"1" "40.31195 mins" "0.003765698 mins" "40.31572 mins"
"2" "40.21604 mins" "0.003726097 mins" "40.21977 mins"
"3" "39.80265 mins" "0.003760393 mins" "39.80641 mins"
"4" "38.57901 mins" "0.003789071 mins" "38.5828 mins"
"5" "39.79793 mins" "0.003747916 mins" "39.80168 mins"
"6" "38.38304 mins" "0.003738538 mins" "38.38678 mins"
"7" "35.16646 mins" "0.003680352 mins" "35.17014 mins"
"8" "34.08356 mins" "0.00392644 mins" "34.08749 mins"
"9" "31.06646 mins" "0.003819521 mins" "31.07028 mins"
"10" "27.71992 mins" "0.003950528 mins" "27.72387 mins"
"11" "27.32009 mins" "0.003929333 mins" "27.32402 mins"
"12" "23.82509 mins" "0.003984018 mins" "23.82908 mins"
"13" "19.58183 mins" "0.003924294 mins" "19.58576 mins"
"14" "12.63209 mins" "0.003890876 mins" "12.63598 mins"
"15" "9.862983 mins" "0.003941405 mins" "9.866926 mins"
"16" "7.516362 mins" "0.003880592 mins" "7.520245 mins"
"17" "5.895157 mins" "0.003752808 mins" "5.898911 mins"
