Gen PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 2 2 0 0 0.216771037181996 0.467377690802348
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 3 2 0 1 1 0 1 0 0.220743639921722 0.476673189823875
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 3 0 1 1 2 1 0 0.221213307240705 0.521037181996086
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 2 0 0 3 1 1 0 0.221859099804305 0.504031311154599
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 3 1 0 1 0 2 0 0 0.22238747553816 0.497416829745597
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 2 0 2 2 1 0 0.222407045009785 0.500645792563601
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 2 1 0 2 1 0 0 0.222583170254403 0.485694716242661
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 2 0 2 2 1 0 0 0.223424657534247 0.528982387475538
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 1 1 2 1 0 0.223698630136986 0.522818003913894
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 2 2 2 0 0 0.224970645792564 0.504246575342466
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 1 1 1 2 1 1 0 0.225185909980431 0.482994129158513
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 1 2 0 1 0 0 2 1 0 0.225205479452055 0.513679060665362
