"IgnitePropellant","SealGas","GeneratePressure","InitiateInflightPower","ModifyAttitude","ArmWarheadFuze","SendFireCommand","Launch","BallisticFlight","TerminalEffects","System","System.1","red_system.1"
1,5,7,0,0,0,3,0,0,0,0,0.086047,0.320705
1,3,7,0,1,0,3,0,0,0,0,0.086282,0.32047
1,4,7,1,2,0,1,0,0,0,0,0.086301,0.316614
3,0,6,1,3,0,3,0,0,0,0,0.085127,0.326458
3,0,6,3,0,0,3,0,0,0,0,0.082329,0.331115
1,4,6,2,0,1,2,0,0,0,0,0.084325,0.329393
0,2,6,2,1,0,5,0,0,0,0,0.083659,0.330391
0,1,5,3,1,1,5,0,0,0,0,0.079824,0.340626
0,1,6,2,0,0,6,0,0,0,0,0.079374,0.340861
0,1,6,1,0,0,6,0,0,0,0,0.081311,0.331409
